token	count	facet_final	facet_source	canonical_final	aat_id	embedding_suggestion	embedding_similarity	note
tan silk	1	material	rule	tan silk				
purple cotton canvas	1	material	rule	purple cotton canva				
chrome coated photographic paper	1	support	rule	chrome coated photographic paper				
wax pencil	1	material	rule	wax pencil				
red chalk highlights	1	material	rule	red chalk highlight				
david logan collection. 2001.121.1.1-24 oclc number: 16641900	1		unresolved	david logan collection. 2001.121.1.1-24 oclc number: 16641900				
silver tape	1	material	rule	silver tape				
satin weave ground	1	material	rule	satin weave ground				
white cotton flannel	1	material	rule	white cotton flannel				
satin-silk	1	material	rule	satin-silk				
26 offset printed reproductions	1	technique	rule	offset printed reproduction				
isle de france paper are folded twice	1	support	rule	isle de france paper are folded twice				
in a pocket within a arches paper wrapper embossed	1	not_medium	rule	in a pocket within a arches paper wrapper embossed				
machine-madevellum-type paper	1	material	rule	machine-madevellum-type paper				
curved ebony handle	1	material	rule	curved ebony handle				
sandalwood sticks	1	material	rule	sandalwood stick				
heavy brown wove paper	1	support	rule	heavy brown wove paper				
green silk georgette	1	material	rule	green silk georgette				
pale blue grey wool	1	material	rule	pale blue grey wool				
collaged to red wove paper	1	support	rule	collaged to red wove paper				
wool flannel lining	1	material	rule	wool flannel lining				
gampi paper chine collé printed in brown	1	technique	rule	gampi paper chine collé printed in brown				
uniquely painted	1	material	rule	uniquely painted				
mixed media screen print	1	technique	rule	mixed media screen				
brush andf spatter lithograph printed in green	1	technique	rule	brush andf spatter lithograph printed in green				
book in slipcase with11 lithographs	1	technique	rule	book in slipcase with11 lithograph				
color surface inking in yellow	1	material	rule	surface inking in yellow				
color lithograph in blue	1	technique	rule	lithograph in blue				
black cardboard	1	support	rule	black cardboard				
holland van gelder cream laid paper	1	support	rule	holland van gelder cream laid paper				
silk doublures	1	material	rule	silk doublure				
6 full-page wood engravings	1	technique	rule	full-page wood engraving				
yellow endpapers	1	support	rule	yellow endpaper				
supplemeentary-weft patterning	1		unresolved	supplemeentary-weft patterning				
matching marbled paper slipcase	1	material	rule	matching marbled paper slipcase				
calendered silk twill weave bow	1	material	rule	calendered silk twill weave bow				
metal foil plain weave	1	material	rule	metal foil plain weave				
in white plastic book case	1	not_medium	rule	in white plastic book case				
shot blue/brown silk	1	material	rule	shot blue/brown silk				
poured concrete base	1	material	rule	poured concrete base				
mounted china paper	1	support	rule	mounted china paper				
transparent watercolors	1	material	rule	transparent watercolor				
gilt-brass mounts	1	material	rule	gilt-brass mount				
verde antico marble top	1	material	rule	verde antico marble top				
aquatint printed in lead white	1	technique	rule	aquatint printed in lead white				
hand clay-coated paper	1	material	rule	hand clay-coated paper				
synthetic silk	1	material	rule	synthetic silk				
newspaper clippings	1	support	rule	newspaper clipping				
a canvas windowshade	1	not_medium	rule	a canvas windowshade				
backing: cotton	1	material	rule	backing: cotton				
ivory decorated paper	1	material	rule	ivory decorated paper				
leather shoe wrapped in tissue paper	1	material	rule	leather shoe wrapped in tissue paper				
red linen	1	material	rule	red linen				
105 color illustrations total: 17 full page color line block reproductions after drawings	1	technique	rule	color illustrations total: 17 full page color line block reproductions after drawing				
bound within paper wrappers	1	support	rule	bound within paper wrapper				
bound in quarter leather	1	material	rule	bound in quarter leather				
embroidery in silk	1	technique	rule	embroidery in silk				
25 hand-colored etchings	1	technique	rule	hand-colored etching				
wove machine-made paper	1	support	rule	wove machine-made paper				
applique embroidery	1	technique	rule	applique embroidery				
cotton machine net	1	material	rule	cotton machine net				
floss silk	1	material	rule	floss silk				
box: ink	1	material	rule	box: ink				
dutch wax printed cotton	1	technique	rule	dutch wax printed cotton				
2 small color woodcuts	1	technique	rule	small color woodcut				
silk-wrapped gimp	1	material	rule	silk-wrapped gimp				
photo-lithographed reproductions	1	technique	rule	photo-lithographed reproduction				
left hand drawing: recto: graphite	1	not_medium	rule	left hand drawing: recto: graphite				
36 illustrations	1		unresolved	illustration				
contrasting colors	1	material	rule	contrasting color				
ivory calf inlay trapezoidal panel	1	material	rule	ivory calf inlay trapezoidal panel				
gold glass	1	material	rule	gold glas				
25 color color wood engravings	1	technique	rule	color color wood engraving				
20 illustrations total: 2 drypoints	1	technique	rule	illustrations total: 2 drypoint				
four-panel mural	1	support	rule	four-panel mural				
heavily textured wove paper	1	support	rule	heavily textured wove paper				
blue laid paper v: black	1	support	rule	blue laid paper v: black				
linen ground	1	material	rule	linen ground				
brown washed paper	1	material	rule	brown washed paper				
miwok stone weight	1	material	rule	miwok stone weight				
press board	1	support	rule	press board				
khaki cotton	1	material	rule	khaki cotton				
gold cotton	1	material	rule	gold cotton				
five-color lithograph	1	technique	rule	five-color lithograph				
felted wood ball	1	material	rule	felted wood ball				
recto: heliogravure reproduction	1	not_medium	rule	recto: heliogravure reproduction				
verso: printed text	1	not_medium	rule	verso: printed text				
additional hand coloringuire...	1	technique	rule	additional hand coloringuire...				
on spine	1	material	rule	on spine				
wove paper v: graphite	1	material	rule	wove paper v: graphite				
from a pentaptych	1	not_medium	rule	from a pentaptych				
wool brocade	1	material	rule	wool brocade				
6 color lithographs	1	technique	rule	color lithograph				
6 drypoints	1	technique	rule	drypoint				
red laid paper-=covered slipcase	1	support	rule	red laid paper-=covered slipcase				
laid auvergne à la main paper	1	support	rule	laid auvergne à la main paper				
vellum binding	1	material	rule	vellum binding				
handmade paper in a slipcase	1	support	rule	handmade paper in a slipcase				
cream silk crepe	1	material	rule	cream silk crepe				
black printed silk chiffon	1	technique	rule	black printed silk chiffon				
non-lead	1	material	rule	non-lead				
unidentified white paper	1	support	rule	unidentified white paper				
enameled frame	1	material	rule	enameled frame				
traces ofpaint	1	material	rule	traces ofpaint				
brown- black ink	1	material	rule	brown- black ink				
a plain weave cotton ground	1	not_medium	rule	a plain weave cotton ground				
brass sheet	1	material	rule	brass sheet				
palladium leaf gilding	1	technique	rule	palladium leaf gilding				
colores pencils	1	material	rule	colores pencil				
aluminum coating	1	material	rule	aluminum coating				
silver coin buttons	1	material	rule	silver coin button				
aquatint border	1	technique	rule	aquatint border				
93 engravings	1	technique	rule	engraving				
printed synthetic faille	1	technique	rule	printed synthetic faille				
24 full page engravings	1	technique	rule	full page engraving				
two panels joined	1	support	rule	panels joined				
printed tissue guard bearing the same image in miniature	1	technique	rule	printed tissue guard bearing the same image in miniature				
stencil duplicate print pamphlet	1	technique	rule	stencil duplicate print pamphlet				
ca. 90 black	1		unresolved	ca. 90 black				
aquatints from la barre d'appui	1	technique	rule	aquatints from la barre d'appui				
pannekoek holland paper	1	support	rule	pannekoek holland paper				
oil paintings	1	material	rule	oil painting				
limestone stand . sandcast glass	1	technique	rule	limestone stand . sandcast glas				
floral-shaped plastic sequins	1	material	rule	floral-shaped plastic sequin				
twenty-seven lithograph prints	1	technique	rule	twenty-seven lithograph				
51 wood engravings	1	technique	rule	wood engraving				
many printed two	1	technique	rule	many printed two				
six photogravures	1	technique	rule	photogravure				
laminated to paper mount	1	support	rule	laminated to paper mount				
paperminiature	1	support	rule	paperminiature				
commercial cotton: machine embroidery	1	technique	rule	commercial cotton: machine embroidery				
burinon montval wove paper	1	support	rule	burinon montval wove paper				
paper construction in the form	1	support	rule	paper construction in the form				
printed from three plates	1	technique	rule	printed from three plate				
lithographed collage elements	1	technique	rule	lithographed collage element				
brass alloy? sequins	1	material	rule	brass alloy? sequin				
white cotton polyester men's shirting	1	material	rule	white cotton polyester men's shirting				
drypoint adn selective inking	1	technique	rule	drypoint adn selective inking				
an original drawing	1	not_medium	rule	an original drawing				
printed complex weave	1	technique	rule	printed complex weave				
tracing paper in graphite	1	material	rule	tracing paper in graphite				
aquatint in gray-brown ink	1	technique	rule	aquatint in gray-brown ink				
20 illustrations total: engravings front	1	technique	rule	illustrations total: engravings front				
glassbeads	1	material	rule	glassbead				
metal zippers skirt: pieced silk satin weave	1	material	rule	metal zippers skirt: pieced silk satin weave				
warm beige laid paper	1	support	rule	warm beige laid paper				
drypoint illustration	1	technique	rule	drypoint illustration				
thirty-two original lithographs	1	technique	rule	thirty-two original lithograph				
24 photomechanical relief process prints	1	technique	rule	photomechanical relief proces				
ochred ink	1	material	rule	ochred ink				
printed in olive green	1	technique	rule	printed in olive green				
pencil additions by the artist	1	material	rule	pencil additions by the artist				
smoked whatman's white paper	1	support	rule	smoked whatman's white paper				
faded purple wove paper	1	support	rule	faded purple wove paper				
applied cotton fringe	1	material	rule	applied cotton fringe				
synthetic yarn velvet	1	material	rule	synthetic yarn velvet				
cancelled linocuts	1	technique	rule	cancelled linocut				
rubber sole	1	material	rule	rubber sole				
basswood	1	material	rule	basswood				
screen printed polyester	1	technique	rule	screen printed polyester				
stainless steel chain	1	material	rule	stainless steel chain				
crayon manner engravingprinted in black	1	technique	rule	crayon manner engravingprinted in black				
reverse extra-weft wrapping	1		unresolved	reverse extra-weft wrapping				
30 wood engravings	1	technique	rule	wood engraving				
silk satin weave backing	1	material	rule	silk satin weave backing				
brierwood	1	material	rule	brierwood				
needleweaving	1	technique	rule	needleweaving				
103 woodcuts plus approximately 27 uncatalogued decorative initials	1	technique	rule	woodcuts plus approximately 27 uncatalogued decorative initial				
publisher's vellum	1	material	rule	publisher's vellum				
fourteen offset lithograph prints	1	technique	rule	offset lithograph				
four lithograph prints	1	technique	rule	lithograph				
ivory marquetry	1	material	rule	ivory marquetry				
prepared laid paper	1	support	rule	prepared laid paper				
flecked blue laid paper affixed to paper mount. affixed to paper mount	1	support	rule	flecked blue laid paper affixed to paper mount. affixed to paper mount				
cream antique laid paper affuxed to thin wove paper	1	support	rule	cream antique laid paper affuxed to thin wove paper				
color lithograph reproductions : 19 full-page	1	technique	rule	lithograph reproductions : 19 full-page				
off white wove notebook paper	1	support	rule	off white wove notebook paper				
color etching diptych	1	technique	rule	etching diptych				
softground etching printed in blue-green	1	technique	rule	softground etching printed in blue-green				
quilted silk shantung	1	material	rule	quilted silk shantung				
thin wove paper mounted to a heavier sheet	1	support	rule	thin wove paper mounted to a heavier sheet				
silver or pewter?	1	material	rule	silver or pewter?				
blue drypoint	1	technique	rule	blue drypoint				
black silk net	1	material	rule	black silk net				
iron rich slip	1	material	rule	iron rich slip				
screen printed reproduction	1	technique	rule	screen printed reproduction				
13 lithographs	1	technique	rule	lithograph				
watermakr	1		unresolved	watermakr				
point d'esprit lace field	1		unresolved	point d'esprit lace field				
moiré silk	1	material	rule	moiré silk				
51 color engravings printed from lead plate	1	technique	rule	color engravings printed from lead plate				
one additional lithograph	1	technique	rule	additional lithograph				
ivroy wove endpapers	1	support	rule	ivroy wove endpaper				
embroidered wool yarn	1	material	rule	embroidered wool yarn				
120 color screenprints	1	technique	rule	color screenprint				
10 color screenprints	1	technique	rule	color screenprint				
3 small color woodcuts	1	technique	rule	small color woodcut				
boards covered	1	support	rule	boards covered				
the spine in red	1	not_medium	rule	the spine in red				
shell cameo	1	material	rule	shell cameo				
linen center	1	material	rule	linen center				
7 lithograph prints	1	technique	rule	lithograph				
loose in parchment wrappers	1	not_medium	rule	loose in parchment wrapper				
grey paper endpapers	1	support	rule	grey paper endpaper				
seven etchings	1	technique	rule	etching				
textile imprinting	1	technique	rule	textile imprinting				
red crayon under pen	1	material	rule	red crayon under pen				
cream wove graph paper affixed to cream wove paper backing	1	support	rule	cream wove graph paper affixed to cream wove paper backing				
collage. kites are watercolors collaged onto orange crate labels. title	1	material	rule	collage. kites are watercolors collaged onto orange crate labels. title				
forged steel	1	material	rule	forged steel				
scraping printed in brown-black ink	1	technique	rule	scraping printed in brown-black ink				
coarsely textured wove paper	1	support	rule	coarsely textured wove paper				
original color images from zinc plates	1	material	rule	original color images from zinc plate				
etching--color	1	technique	rule	etching--color				
blue chambray cotton	1	material	rule	blue chambray cotton				
aquatint scraping	1	technique	rule	aquatint scraping				
10 intaglio prints	1	technique	rule	intaglio				
with supplementary synthetic metal foil patterning	1	material	rule	with supplementary synthetic metal foil patterning				
chiffon a la main wove paper	1	support	rule	chiffon a la main wove paper				
23 pages	1		unresolved	page				
empty portfolio case	1	not_medium	rule	empty portfolio case				
cotton plain-weave lining	1	material	rule	cotton plain-weave lining				
31 illustrations total: 15 etchings	1	technique	rule	illustrations total: 15 etching				
loose in wove paper wrappers	1	not_medium	rule	loose in wove paper wrapper				
inscribed 'hans. vonach'	1		unresolved	inscribed 'hans. vonach'				
silk weft indigo-dyed ikat	1	material	rule	silk weft indigo-dyed ikat				
applied gold paint	1	material	rule	applied gold paint				
gold lace galloon	1	material	rule	gold lace galloon				
carved mahogany	1	technique	rule	carved mahogany				
cream wove paper. verso in graphite	1	not_medium	rule	cream wove paper. verso in graphite				
24 color wood engravings	1	technique	rule	color wood engraving				
color zinc plate viscocity etching	1	technique	rule	zinc plate viscocity etching				
matching red satin covered slipcase	1	material	rule	matching red satin covered slipcase				
back ink	1	material	rule	back ink				
black nt rasha paper	1	support	rule	black nt rasha paper				
molded thermoplastic front	1	material	rule	molded thermoplastic front				
chine' silk taffeta	1	material	rule	chine' silk taffeta				
silvered mother-of-pearl sticks	1	material	rule	silvered mother-of-pearl stick				
hand made paper	1	support	rule	hand made paper				
trade glass ring	1	material	rule	trade glass ring				
sugartint	1	material	rule	sugartint				
recycled canvas	1	support	rule	recycled canva				
spatter lithograph printed in olive-green	1	technique	rule	spatter lithograph printed in olive-green				
engravings after paintings	1	technique	rule	engravings after painting				
metal-wrapped wire	1		unresolved	metal-wrapped wire				
12 linocuts	1	technique	rule	linocut				
curtis brightwater cover paper as volume 3 in portfolio box	1	not_medium	rule	curtis brightwater cover paper as volume 3 in portfolio box				
black ink inscriptions	1	material	rule	black ink inscription				
embroidered silk applique	1	material	rule	embroidered silk applique				
sewn cotton strips	1	material	rule	sewn cotton strip				
metal & glass	1	material	rule	metal & glas				
rives bfk paper accompanied by tape cassette	1	support	rule	rives bfk paper accompanied by tape cassette				
organic screenprints	1	technique	rule	organic screenprint				
36 lithographs from 37 stones printed	1	technique	rule	lithographs from 37 stones printed				
44 photogravures	1	technique	rule	photogravure				
light gray antique laid paper	1	support	rule	light gray antique laid paper				
cream wove paper affixed to cardboard	1	support	rule	cream wove paper affixed to cardboard				
green silk damask	1	material	rule	green silk damask				
red ink score lines	1	material	rule	red ink score line				
burgundy wool	1	material	rule	burgundy wool				
unique inking	1	material	rule	unique inking				
soft ground drawing lift	1	technique	rule	soft ground drawing lift				
etching times written in pencil	1	technique	rule	etching times written in pencil				
metal foil–wrapped silk lace appliqué	1	material	rule	metal foil–wrapped silk lace appliqué				
51 color wood engravings	1	technique	rule	color wood engraving				
and seal skin	1		unresolved	and seal skin				
aquatintson somerset paper	1	technique	rule	aquatintson somerset paper				
a) wool	1	material	rule	a) wool				
twisted five-ply end - plate 74	1		unresolved	twisted five-ply end - plate 74				
discontinuous supplementary wft patterning	1	material	rule	discontinuous supplementary wft patterning				
4 steel engravings	1	technique	rule	steel engraving				
31 illustrations total: 1 pochoir	1	technique	rule	illustrations total: 1 pochoir				
box: three-color screenprint	1	technique	rule	box: three-color screenprint				
wash v: graphite	1	material	rule	wash v: graphite				
18-point type gloucester old style in monotype composition from m & h type.	1	technique	rule	18-point type gloucester old style in monotype composition from m & h type.				
coated silk	1	material	rule	coated silk				
soap stone	1	material	rule	soap stone				
dypoint printed in blue	1	technique	rule	dypoint printed in blue				
blue hand-dropped aquatint	1	technique	rule	blue hand-dropped aquatint				
six color woodcut	1	technique	rule	color woodcut				
polychrome carved wood	1	technique	rule	polychrome carved wood				
hand-colored engravings	1	technique	rule	engraving				
wool/cotton blend	1	material	rule	wool/cotton blend				
color coupler print	1	technique	rule	coupler				
colour etching	1	technique	rule	colour etching				
color offset lithograph postcard proof	1	technique	rule	offset lithograph postcard proof				
polished red stoneware	1	material	rule	polished red stoneware				
gold embossed label	1	material	rule	gold embossed label				
thirteen gelatin silver prints	1	technique	rule	gelatin silver				
fagoting	1	material	rule	fagoting				
hand colored copper plate engraving	1	technique	rule	copper plate engraving				
hand colored wood engraving	1	technique	rule	wood engraving				
wood engraving in three colors	1	technique	rule	wood engraving in three color				
linoleum cut printed in brown	1	technique	rule	linoleum cut printed in brown				
color etching-aquatint	1	technique	rule	etching-aquatint				
wood engrav ing	1	material	rule	wood engrav ing				
color lithographa	1	technique	rule	lithographa				
japanning	1		unresolved	japanning				
warp-resist-dyed plain-weave lining	1		unresolved	warp-resist-dyed plain-weave lining				
83 steel engravings	1	technique	rule	steel engraving				
inscribed honi soit qui mal pense in black ink surrounding the 17th century royal coat	1	material	rule	inscribed honi soit qui mal pense in black ink surrounding the 17th century royal coat				
soft ground etching chine collé	1	technique	rule	soft ground etching chine collé				
cassowary's upper leg bone	1	material	rule	cassowary's upper leg bone				
stamped silk velvet	1	material	rule	stamped silk velvet				
16 wood engravings	1	technique	rule	wood engraving				
both in a parchment paper covered box	1	material	rule	both in a parchment paper covered box				
brown paper adhered to book page	1	support	rule	brown paper adhered to book page				
arches wove paper by multiple artists	1	support	rule	arches wove paper by multiple artist				
brown-red opaque watercolor	1	material	rule	brown-red opaque watercolor				
red watercolor additions	1	material	rule	red watercolor addition				
bound in contemporary red morocco binding	1	material	rule	bound in contemporary red morocco binding				
beige knotted openweave cotton	1	material	rule	beige knotted openweave cotton				
colored enamel	1	material	rule	enamel				
20 etchings plus 1 additional etching	1	technique	rule	etchings plus 1 additional etching				
decorated japanese paper covers	1	support	rule	decorated japanese paper cover				
book in paper cover	1	support	rule	book in paper				
on rear doublure stamp	1		unresolved	on rear doublure stamp				
paper somerset paper	1	support	rule	paper somerset paper				
paper v: graphite	1	material	rule	paper v: graphite				
silver b) shagreen	1	material	rule	silver b) shagreen				
printed cotton jersey knit	1	technique	rule	printed cotton jersey knit				
blue paper v: black	1	support	rule	blue paper v: black				
sanquine under brown ink	1	material	rule	sanquine under brown ink				
25 full-page engravings	1	technique	rule	full-page engraving				
97 wood engravings	1	technique	rule	wood engraving				
parchment affixed to ragboard mount	1	material	rule	parchment affixed to ragboard mount				
printed from the cancelled plate in 1879	1	technique	rule	printed from the cancelled plate in 1879				
jeff goodman pencil	1	material	rule	jeff goodman pencil				
refactory cement. species-specific pine boughs	1	material	rule	refactory cement. species-specific pine bough				
buff textured paper	1	support	rule	buff textured paper				
cotton floss	1	material	rule	cotton flos				
plate tarnish printed in sepia	1	technique	rule	plate tarnish printed in sepia				
powder-coated stainless steel hardware	1	material	rule	powder-coated stainless steel hardware				
powder coated zinc-plated steel chain	1	material	rule	powder coated zinc-plated steel chain				
duplicate lithograph	1	technique	rule	duplicate lithograph				
cotton fleece	1	material	rule	cotton fleece				
a cash roll	1	not_medium	rule	a cash roll				
waterproof tan cotton duck	1	material	rule	waterproof tan cotton duck				
cotton twill trim	1	material	rule	cotton twill trim				
ferrotyped gelatin silver print	1	technique	rule	ferrotyped gelatin silver				
earthenware molded in relief	1	material	rule	earthenware molded in relief				
lift ground drawing	1	technique	rule	lift ground drawing				
photographic screenprint	1	technique	rule	photographic screenprint				
chrome plated brass	1	material	rule	chrome plated bras				
aquatint in gray ink	1	technique	rule	aquatint in gray ink				
printed nylon tricot	1	technique	rule	printed nylon tricot				
copper plate engraving	1	technique	rule	copper plate engraving				
etching printed in sanguine	1	technique	rule	etching printed in sanguine				
lithograph from two stones	1	technique	rule	lithograph from two stone				
color lithograph ?	1	technique	rule	lithograph ?				
ccolor wood engraving	1	technique	rule	ccolor wood engraving				
fabric - wool blanket	1	material	rule	fabric - wool blanket				
the cardboard backing ' portrait	1	not_medium	rule	the cardboard backing ' portrait				
looped fiber	1		unresolved	looped fiber				
perforated cardboard	1	support	rule	perforated cardboard				
silk braid trim	1	material	rule	silk braid trim				
3 chine collé	1	support	rule	chine collé				
grey washes	1	material	rule	grey washe				
twill lampas	1		unresolved	twill lampa				
quilted shot silk plain weave dress: wool houndstooth	1	material	rule	quilted shot silk plain weave dress: wool houndstooth				
hard-paste porcelain crystallized glazes	1	material	rule	hard-paste porcelain crystallized glaze				
white paper from barcham green	1	support	rule	white paper from barcham green				
adhered lithographed collage elements	1	technique	rule	adhered lithographed collage element				
black morocco leather trim	1	material	rule	black morocco leather trim				
black & white chalks	1	material	rule	black & white chalk				
linen tulle	1	material	rule	linen tulle				
silk brocade?	1	material	rule	silk brocade?				
gold publisher's device	1	material	rule	gold publisher's device				
red leather spine	1	material	rule	red leather spine				
10 original lithograph prints	1	technique	rule	original lithograph				
25 duotone offset lithographs	1	technique	rule	duotone offset lithograph				
68 original prints in cardboard slip case	1	technique	rule	original prints in cardboard slip case				
enamelled	1	material	rule	enamelled				
bottom is silk screen	1	material	rule	bottom is silk screen				
camel wool	1	material	rule	camel wool				
scored silver paper	1	material	rule	scored silver paper				
indian jade	1	material	rule	indian jade				
chrome plated steel	1	material	rule	chrome plated steel				
canson charcoal paper	1	material	rule	canson charcoal paper				
double tracing paper	1	support	rule	double tracing paper				
printed chine collé in eleven colors	1	technique	rule	printed chine collé in eleven color				
uv acrylic	1	material	rule	uv acrylic				
icelandic newspapers	1	support	rule	icelandic newspaper				
a block-printed transfer outline	1	not_medium	rule	a block-printed transfer outline				
digital printed silk gazar	1	technique	rule	digital printed silk gazar				
cedar bark warp	1	material	rule	cedar bark warp				
yellow-green inks	1	material	rule	yellow-green ink				
406 wood engravings	1	technique	rule	wood engraving				
color reproductions bound in wove covered boards	1	support	rule	reproductions bound in wove covered board				
painted buttons	1	material	rule	painted button				
plastic sequin embroidery	1	technique	rule	plastic sequin embroidery				
applied leather	1	material	rule	applied leather				
8 lift ground aquatints	1	technique	rule	lift ground aquatint				
3 photogravures	1	technique	rule	photogravure				
chemise is covered in black paper	1	support	rule	chemise is covered in black paper				
supplementray-weft wrapping	1		unresolved	supplementray-weft wrapping				
5 illustrations total: 4 woodcuts	1	technique	rule	illustrations total: 4 woodcut				
pink taffeta lining	1	material	rule	pink taffeta lining				
bound resist dyed	1		unresolved	bound resist dyed				
brown shells	1	material	rule	brown shell				
arches wove paper. cream wove paper wrappers	1	support	rule	arches wove paper. cream wove paper wrapper				
4 folded photolithographs	1	technique	rule	folded photolithograph				
29 reproduction photographs by karl bissinger printed in duo-tone	1	technique	rule	reproduction photographs by karl bissinger printed in duo-tone				
cast aluminum mounted	1	technique	rule	cast aluminum mounted				
red gouache	1	material	rule	red gouache				
red-brown inks	1	material	rule	red-brown ink				
nickel-plated aluminum	1	material	rule	nickel-plated aluminum				
pulp painting	1	material	rule	pulp painting				
red silk tassels	1	material	rule	red silk tassel				
wooden stretcher	1	material	rule	wooden stretcher				
inscribed in pen	1	material	rule	inscribed in pen				
silk organza collar	1	material	rule	silk organza collar				
metal seed beads	1		unresolved	metal seed bead				
shin kyoshi paper	1	support	rule	shin kyoshi paper				
gown: ombré dyed silk crêpe	1	material	rule	gown: ombré dyed silk crêpe				
8 wood engravings	1	technique	rule	wood engraving				
metal foil lampasette	1	material	rule	metal foil lampasette				
four edges. black title	1		unresolved	edges. black title				
block overprinting	1	technique	rule	block overprinting				
bound in hunter green morocco leather	1	material	rule	bound in hunter green morocco leather				
1watercolor	1	material	rule	1watercolor				
charcoal or black crayon	1	material	rule	charcoal or black crayon				
gray paper affixed to cardboard mount.	1	support	rule	gray paper affixed to cardboard mount.				
paper silhouettes painted black	1	material	rule	paper silhouettes painted black				
pink tissue	1	material	rule	pink tissue				
camelid hair or sheep's wool	1	material	rule	camelid hair or sheep's wool				
andrews nelson whitehead watercolor paper	1	material	rule	andrews nelson whitehead watercolor paper				
black leather case	1	material	rule	black leather case				
monotype screenprint	1	technique	rule	monotype screenprint				
stiff paper	1	support	rule	stiff paper				
colored woodcut surimono	1	technique	rule	woodcut surimono				
plastic - commercial strapping	1	material	rule	plastic - commercial strapping				
wood hat blocks	1	material	rule	wood hat block				
wood mounted	1	material	rule	wood mounted				
bfk rives grand wove paper	1	support	rule	bfk rives grand wove paper				
33 lithographs	1	technique	rule	lithograph				
originally in green paper covers	1	support	rule	originally in green paper cover				
stumping under black lithographic crayon	1	technique	rule	stumping under black lithographic crayon				
blue satin-covered slipcase.	1	material	rule	blue satin-covered slipcase.				
a printed label passted to the covers	1	not_medium	rule	a printed label passted to the cover				
uncatalogued letterpress table	1	technique	rule	uncatalogued letterpress table				
silk satin metal	1	material	rule	silk satin metal				
wool cloth	1	material	rule	wool cloth				
metal-wrapped silk threads	1	material	rule	metal-wrapped silk thread				
25 metal relief engravings: cover	1	technique	rule	metal relief engravings:				
blue stencil duplicate print handbill	1	technique	rule	blue stencil duplicate print handbill				
blue satin	1	material	rule	blue satin				
ecru cotton	1	material	rule	ecru cotton				
knotted silk tenerife lace	1	material	rule	knotted silk tenerife lace				
partially painted in tow tones	1	material	rule	partially painted in tow tone				
cream laid paper toned	1	support	rule	cream laid paper toned				
tan wash.	1	material	rule	tan wash.				
silvered acetate adhered to paper	1	material	rule	silvered acetate adhered to paper				
pencil sketch	1	material	rule	pencil sketch				
aluminum papers	1	material	rule	aluminum paper				
hand drawing in graphite	1	technique	rule	hand drawing in graphite				
lenox 100 paper	1	support	rule	lenox 100 paper				
gold kid	1	material	rule	gold kid				
chinese jade	1	material	rule	chinese jade				
heavier paper sheet	1	support	rule	heavier paper sheet				
olive green stained wooden beads strun	1	material	rule	olive green stained wooden beads strun				
multiple interlinking through beads	1	material	rule	multiple interlinking through bead				
crescent board	1	support	rule	crescent board				
black white yellow embroidery	1	technique	rule	black white yellow embroidery				
diamonds set in gold	1	material	rule	diamonds set in gold				
21 prints	1	technique	rule	21				
metalic gold powder	1	material	rule	metalic gold powder				
plastic baby dolls	1	material	rule	plastic baby doll				
engraving mounted	1	technique	rule	engraving mounted				
brown morocco spine	1	material	rule	brown morocco spine				
silk tassel fringe	1	material	rule	silk tassel fringe				
91 engravings reproducing paintings	1	technique	rule	engravings reproducing painting				
five wood engravings: title vignette	1	technique	rule	wood engravings: title vignette				
twelve screenprints	1	technique	rule	screenprint				
one photoetching	1	technique	rule	photoetching				
twenty-four prints	1	technique	rule	twenty-four				
over brown-gray ink wash	1	material	rule	over brown-gray ink wash				
varnish stencil	1	technique	rule	varnish stencil				
color woodcuts in traditional japanese format	1	technique	rule	woodcuts in traditional japanese format				
five drypoint prints mounted	1	technique	rule	drypoint prints mounted				
color aquatint in gray	1	technique	rule	aquatint in gray				
fabriano murillo paper	1	support	rule	fabriano murillo paper				
oil pastels	1	material	rule	oil pastel				
grey leather bows	1	material	rule	grey leather bow				
jacket: wool warp knitting	1	material	rule	jacket: wool warp knitting				
fifty prints	1	technique	rule	fifty				
charcoal stumped	1	material	rule	charcoal stumped				
color woodcut surimono triptych panel	1	technique	rule	woodcut surimono triptych panel				
block printed overprinting	1	technique	rule	block printed overprinting				
45 lithographed plates	1	technique	rule	lithographed plate				
five printed in black	1	technique	rule	printed in black				
holland laid paper slipcase	1	support	rule	holland laid paper slipcase				
two pine wood boxes	1	material	rule	pine wood boxe				
green gouache prepared ground	1	material	rule	green gouache prepared ground				
silver leather	1	material	rule	silver leather				
prints from lace	1	technique	rule	prints from lace				
paper: kizuki grey	1	support	rule	paper: kizuki grey				
wide black suede leather belt	1	material	rule	wide black suede leather belt				
opaque watercolor assembled	1	material	rule	opaque watercolor assembled				
5 wood engravings	1	technique	rule	wood engraving				
empty portfolio for 5 color aquatints	1	not_medium	rule	empty portfolio for 5 color aquatint				
4 wood engraved vignettes	1	material	rule	wood engraved vignette				
125 engravings	1	technique	rule	engraving				
bound in red wove paper	1	support	rule	bound in red wove paper				
18 zincographs	1	material	rule	zincograph				
red leather adhered to spine	1	material	rule	red leather adhered to spine				
black chalk under brown ink wash	1	material	rule	black chalk under brown ink wash				
reproduction promotional prints	1	technique	rule	reproduction promotional				
wood engravings (30 full pages inserted hors texte	1	technique	rule	wood engravings (30 full pages inserted hors texte				
349 text pages	1		unresolved	text page				
11 images : picasso	1		unresolved	images : picasso				
